"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","datasetKey"
"Eleutherodactylus planirostris (Cope, 1862)","Eleutherodactylus","planirostris",-81.163168,23.197128,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.059351,18.415299,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-65.86162,18.434028,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus brittoni Schmidt, 1920","Eleutherodactylus","brittoni",-65.796467,18.261086,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus planirostris (Cope, 1862)","Eleutherodactylus","planirostris",-75.941529,21.097233,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-65.616233,18.229867,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus weinlandi Barbour, 1914","Eleutherodactylus","weinlandi",-70.955581,19.648365,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-71.512745,18.323763,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus planirostris (Cope, 1862)","Eleutherodactylus","planirostris",-66.653442,17.998108,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-71.409909,18.385599,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus thomasi Schwartz, 1959","Eleutherodactylus","thomasi",-80.257702,21.985414,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-64.661275,18.405736,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.879856,17.952972,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus gossei Dunn, 1926","Eleutherodactylus","gossei",-76.65999,18.198103,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.169682,18.113843,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus klinikowskii Schwartz, 1959","Eleutherodactylus","klinikowskii",-84.136026,22.203856,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-66.563834,18.433981,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus martinicensis (Tschudi, 1838)","Eleutherodactylus","martinicensis",-61.119794,14.645726,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.096602,18.179356,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus martinicensis (Tschudi, 1838)","Eleutherodactylus","martinicensis",-61.019888,14.691431,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184123,18.152173,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.796662,18.260937,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.105733,18.257541,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus weinlandi Barbour, 1914","Eleutherodactylus","weinlandi",-71.255694,19.350277,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus abbotti Cochran, 1923","Eleutherodactylus","abbotti",-71.238053,18.144782,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184163,18.152169,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.183913,18.15207,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.094655,18.154098,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus portoricensis Schmidt, 1927","Eleutherodactylus","portoricensis",-65.746752,18.290144,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cuneatus (Cope, 1862)","Eleutherodactylus","cuneatus",-75.611988,20.00338,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.033353,18.231754,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.85976,18.035104,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184166,18.151992,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus weinlandi Barbour, 1914","Eleutherodactylus","weinlandi",-69.454981,19.057076,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.046494,18.4064,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus flavescens Noble, 1923","Eleutherodactylus","flavescens",-68.596656,18.637245,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus richmondi Stejneger, 1904","Eleutherodactylus","richmondi",-65.823946,18.390675,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.183692,18.152219,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.094857,18.153841,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.198044,18.069013,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.1794,18.110179,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.297495,18.141718,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.13245,18.136974,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.099136,18.153928,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.961303,18.262005,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184169,18.152166,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.139311,18.186291,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus audanti Cochran, 1934","Eleutherodactylus","audanti",-72.245799,18.575955,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184114,18.152151,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184131,18.151984,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.905263,18.352588,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus abbotti Cochran, 1923","Eleutherodactylus","abbotti",-71.273158,18.111903,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.185039,18.107456,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.159963,18.176318,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.034463,18.0912,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.174942,18.122331,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus johnstonei Barbour, 1914","Eleutherodactylus","johnstonei",-61.103901,14.62087,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-65.973933,18.2535,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus paralius Schwartz, 1976","Eleutherodactylus","paralius",-69.93692,18.564859,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.182735,18.158341,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.18369,18.152242,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.728287,18.413978,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.186411,18.170789,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.90282,18.218299,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.183849,18.152245,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.855758,18.174125,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.855828,18.174063,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.121398,18.15597,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.18388,18.152277,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.150017,18.168682,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.16825,18.148147,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-71.40904,18.275477,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.032855,18.235762,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.028647,18.386525,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.724998,18.417274,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus abbotti Cochran, 1923","Eleutherodactylus","abbotti",-71.269786,18.117489,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.183883,18.152268,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184441,18.152761,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.902962,18.218183,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus abbotti Cochran, 1923","Eleutherodactylus","abbotti",-71.273464,18.115156,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.291982,18.134502,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus johnstonei Barbour, 1914","Eleutherodactylus","johnstonei",-60.96074,13.761164,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus johnstonei Barbour, 1914","Eleutherodactylus","johnstonei",-61.112278,14.64423,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.094208,18.133572,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184286,18.152075,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.099594,18.134681,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.16192,18.178544,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.1841,18.152123,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus flavescens Noble, 1923","Eleutherodactylus","flavescens",-69.256219,19.195143,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.183967,18.152121,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.121555,18.156778,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.121783,18.15697,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus portoricensis Schmidt, 1927","Eleutherodactylus","portoricensis",-66.289681,18.131512,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.179583,18.112849,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-66.17955,18.112899,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-66.184183,18.152164,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184188,18.152147,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.297475,18.141521,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.18392,18.152226,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.148219,18.117293,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.150135,18.209157,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184136,18.152161,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-66.121471,18.156635,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.214255,18.17351,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.297557,18.141769,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.297568,18.141655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184146,18.152189,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184249,18.15215,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.099411,18.134908,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus inoptatus (Barbour, 1914)","Eleutherodactylus","inoptatus",-70.70862,19.763606,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus abbotti Cochran, 1923","Eleutherodactylus","abbotti",-70.709337,19.763109,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.162189,18.168127,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.100155,18.260235,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.179584,18.112826,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus portoricensis Schmidt, 1927","Eleutherodactylus","portoricensis",-66.333319,18.123418,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.179562,18.112927,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.162042,18.168067,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.121675,18.156842,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.28748,18.124857,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.179576,18.112863,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus johnstonei Barbour, 1914","Eleutherodactylus","johnstonei",-61.758399,12.025906,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.028214,18.388283,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.166261,18.176696,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184216,18.152087,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.174246,18.093649,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus portoricensis Schmidt, 1927","Eleutherodactylus","portoricensis",-66.071409,18.157161,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.159119,18.119487,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-65.893815,18.181186,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus portoricensis Schmidt, 1927","Eleutherodactylus","portoricensis",-67.168568,18.083697,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.121513,18.156616,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.106117,18.257041,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.159834,18.172578,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.136785,18.117363,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.184029,18.152285,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.297487,18.141649,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.17699,18.092393,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-66.179529,18.112917,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
