"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","first","second","third","datasetKey"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.331966,-0.678977,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia villosa A.Stewart","Scalesia","villosa",-90.413629,-1.267662,"Ecuador","Isla Santa Maria",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.961078,-0.951129,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.653123,-0.305351,"Ecuador","Isla Fernandina",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.335167,-0.716889,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.97266,-0.949669,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.121476,-0.478424,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.311434,-0.741672,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.985493,-0.957415,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303939,-0.742381,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.371436,-0.251967,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.366557,-0.751139,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.972462,-0.953466,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.482393,-1.318377,"Ecuador","Isla Santa Maria",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.44513,-1.27458,"Ecuador","Isla Santa Maria",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303943,-0.742607,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.304162,-0.742082,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.375619,-0.744877,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.315689,-0.743292,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.01005,-0.965782,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.345901,-0.621125,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.013385,-0.964752,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.331035,-0.718561,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.409424,-0.772002,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.956422,-0.956431,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.248874,-0.601605,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.971143,-0.944542,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.391045,-0.762271,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.308731,-0.702446,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.497832,-1.28836,"Ecuador","Isla Santa Maria",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.31105,-0.744646,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia cordata A.Stewart","Scalesia","cordata",-91.081278,-0.988188,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.321425,-0.627974,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.212174,-0.627947,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.364686,-0.69779,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.343525,-0.632934,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.013496,-0.964577,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.304028,-0.742609,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.263129,-0.638976,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.209248,-0.656739,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.013183,-0.965824,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.349656,-0.76367,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.436281,-0.697421,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.263921,-0.734731,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.207765,-0.691758,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.338273,-0.696597,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.296626,-0.671852,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.297818,-0.616125,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.287352,-0.743448,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.399006,-0.621129,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.478,-1.282068,"Ecuador","Isla Santa Maria",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.247304,-0.611839,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.311718,-0.618136,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.37838,-0.689572,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.322805,-0.642486,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.35,-0.766667,"Ecuador","Isla Santa Cruz",NA,"c267909d-184f-4138-9e67-a074d478d52b"
"Scalesia incisa Hook.fil.","Scalesia","incisa",-90.25,-0.733333,"Ecuador","Isla Santa Cruz",NA,"c267909d-184f-4138-9e67-a074d478d52b"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.368194,-0.661047,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.21399,-0.612335,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.386846,-0.627572,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.356009,-0.712519,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.002575,-0.966607,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.354223,-0.641106,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.344197,-0.742602,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.007187,-0.963532,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.25939,-0.687514,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.277517,-0.662329,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.274204,-0.60254,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.099703,-0.779095,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.97742,-0.938742,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.964147,-0.954457,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.378309,-0.684905,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.284272,-0.665568,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303978,-0.742092,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.099772,-0.782686,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.971614,-0.954656,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.371181,-0.250574,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.396858,-0.689176,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.353771,-0.683912,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.212342,-0.675442,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.5,-0.41667,"Ecuador","Isla Fernandina",NA,"e053ff53-c156-4e2e-b9b5-4462e9625424"
